Index,Course,School,Number,Title,Description
10,AAE 33301,AAE,33301,Fluid Mechanics Laboratory,A laboratory course designed to illustrate various aerodynamic phenomena. Experiments in incompressible viscous flow; flow measurement and visualization; laminar and turbulent boundary layers; wakes.
11,AAE 33400,AAE,33400,Aerodynamics,"Incompressible airfoil and lifting line theory. Steady and unsteady, one-dimensional, linear and nonlinear flows. Normal shock waves. Steady, supersonic, two-dimensional linear and nonlinear flows. Oblique shock waves. Perturbation theory for wings and bodies. Design applications."
12,AAE 33401,AAE,33401,Aerodynamics Laboratory,"A laboratory course designed to illustrate various aerodynamic phenomena. Airfoil pressure distribution. Finite wing lift, drag, and moment. Supersonic flow around bodies. Shock waves."
13,AAE 33800,AAE,33800,Thermal Sciences,"A fundamental course covering a range of topics selected from the disciplines of engineering thermodynamics, fluid mechanics, heat transfer and combustion, with an emphasis on their application to propulsion. This is an entry level course to prepare students for advanced analysis of propulsion and energy systems. Upon completion of this course, students are expected to be able to apply fundamental principles to perform thermodynamic analysis for thermophysical problems involving fluid flow, heat transfer and combustion."
14,AAE 33900,AAE,33900,Aerospace Propulsion,"Survey of air-breathing and rocket propulsion systems for AAE students not in the propulsion option. Thermodynamic cycles, analysis of air-breathing systems and components. Rocket Equation, rocket cycles, liquid and solid propellants, chemical equilibrium."
15,AAE 34000,AAE,34000,Dynamics And Vibrations,"Kinematics and kinetics of particles and rigid bodies. Topics include a particle in orbit, systems of particles, vibrations, Euler's equations of motion, Eulerian angles, and aerospace vehicle dynamics."
16,AAE 35103,AAE,35103,Aerospace Systems Design,"Aerospace system lifecycle and design process. Stakeholder needs elicitation and requirements generation. Quality function deployment and hierarchical objective trees. Concept generation and creativity techniques. Introduction to safety, risk, cost and value analysis. Critical evaluation of the applicability of systems engineering techniques in specific contexts. Application of these techniques to a team semester design project."
17,AAE 35200,AAE,35200,Structural Analysis I,Properties of wing and fuselage sections. Beam-column moments. Torsion of thin-walled and skinstringer multiple-cell sections. Nonsymmetrical bending of skin-stringer wing sections. Flexural shear in open and closed thin-walled and skin-stringer sections. Loads and stresses in the rib system. Cutouts and shear lag. Modified beam theory for wing and fuselage design. Deflection by energy method. Introduction to composite structures.
18,AAE 35201,AAE,35201,Structural Analysis I Laboratory,"Location of shear center. Torsion of thin-walled open and closed sections. Torsion of multiple-cell, thin-walled section. Nonsymmetrical bending of skin-stringer cross section. Shear lag effect. Bending of composite beam."
19,AAE 36100,AAE,36100,Introduction To Random Variables In Engineering,"Events, sample space, probability, conditional probability, independence, random variables. Probability mass functions, density functions, and cumulative distribution functions. Derived probability density functions. Bernoulli, Poisson, and normal processes. Applications to engineering problems. Some fundamental limit theorems."
20,AAE 36400,AAE,36400,Control System Analysis,"Modeling and analysis of dynamical systems with aerospace applications. Laplace transforms, transfer functions, block diagrams. Transient and steady-state response of dynamical systems. Root Locus, Bode, Nyquist methods for control systems analysis. Introduction to controller design."
21,AAE 36401,AAE,36401,Control Systems Laboratory,"Enhance student awareness of control systems by providing hands-on experience using dynamic systems representative of air and space vehicles. Design of a control system from start to finish by mapping requirements into control solutions through the process of modeling, identification, and controller design (PID and Lead-Lag)."
22,AAE 38199,AAE,38199,Professional Practice Co-Op I,"To obtain professional practice with qualified employers within industry, government, or small business. Professional Practice students only. Permission of department required."
23,AAE 38299,AAE,38299,Professional Practice Co-Op II,"To obtain professional practice with qualified employers within industry, government, or small business. Professional Practice students only. Permission of department required."
24,AAE 38399,AAE,38399,Professional Practice Co-Op III,"To obtain professional practice with qualified employers within industry, government, or small business. Professional Practice students only. Permission of department required."
25,AAE 39399,AAE,39399,Professional Practice Extensive Co-Op III,Professional experience in aeronautics and astronautics. Program coordinated by school with cooperation of participating employers. Students submit summary report and company evaluation. Professional Practice students only. Permission of department required.
26,AAE 39499,AAE,39499,Professional Practice Extensive Co-Op IV,Professional experience in aeronautics and astronautics. Program coordinated by school with cooperation of participating employers. Students submit summary report and company evaluation. Professional Practice students only. Permission of department required.
27,AAE 39599,AAE,39599,Professional Practice Extensive Co-Op V,Professional experience in aeronautics and astronautics. Program coordinated by school with cooperation of participating employers. Students submit summary report and company evaluation. Professional Practice students only. Permission of department required.
28,AAE 39699,AAE,39699,Professional Practice Internship,Professional experience in aeronautics and astronautics. Program coordinated by school with cooperation of participating employers. Students submit summary report and company evaluation. Permission of department required.
29,AAE 40000,AAE,40000,Undergraduate Senior Seminar,"A lecture-demonstration series emphasizing evaluation of career options, identification and development of professional skills. Example of career-related topics include choosing a job, and post graduate education in engineering or other disciplines. Examples of professional skills topics covered include interviewing, writing, and ethics. Assessment of student achievement of AAE program learning outcomes."
30,AAE 41200,AAE,41200,Introduction To Computational Fluid Dynamics,"Introductory course in the formulation and application of finite difference methods for solving fluid flow problems. Classification of partial differential equations and formulation of well-posed problems. Discrete approximation of partial differential equations: stability, consistency, and convergence. Finite-volume formulations. Survey of methods for solving hyperbolic, elliptic, and parabolic problems. Formulation of discrete boundary conditions. Application of methods to one- and two-dimensional flow problems."
31,AAE 41600,AAE,41600,Viscous Flows,"Navier-Stokes equations, boundary layer theory, frictional drag and heating, separation and transition. Turbulent flows. Computational methods for laminar and turbulent flows."
32,AAE 41800,AAE,41800,Zero-Gravity Flight Experiment,"Team-based design-build-test engineering experience to maximize the benefits of student participation in the NASA Reduced Gravity Student Flight Opportunity Program (or similar). Gravity, orbits, and weightlessness. Low-gravity capillary fluid physics, scaling laws, and components. Experiment design for multiple short zero gravity test times. Technical proposal writing, design for manufacturability, experiment fabrication, planning, testing, and execution."
33,AAE 42100,AAE,42100,Flight Dynamics And Control,"Flight vehicle rigid-body equations of motion; linearization via small perturbation techniques. Trim analysis, static and dynamic stability, aerodynamic stability derivatives and control effectiveness. Vehicle transfer functions, stability augmentation, aircraft handling qualities. Introduction to flexible vehicle effects."
34,AAE 43800,AAE,43800,Air-Breathing Propulsion,"Basic operating principles and analysis of performance characteristics of propulsion systems for air-breathing aerospace vehicles. Ramjet, turbojet, turbofan and turboprop cycle analysis. Propeller analysis and design. Analysis of flow through inlets, combustors, nozzles, compressors, and turbines. Component matching. Not open to students with credit in ME 43800."
35,AAE 43900,AAE,43900,Rocket Propulsion,Flight mechanics and the propulsion system requirements for terrestrial and interplanetary flight. Converging-diverging nozzle analysis and design. Thermochemistry of propellants and performance calculations. Solid rocket motor interior ballistics and design. Thrust chamber and turbo machinery analysis and design. Liquid rocket engine cycle analysis and design. Elements of nuclear and electric propulsion systems.
36,AAE 44000,AAE,44000,Spacecraft Attitude Dynamics,"Description of orientation, angular velocity, and angular acceleration in terms of direction cosines, Euler parameters, and angles. Forces and moments acting on space vehicles. Attitude stability of various types of satellites in circular and elliptic orbits. Spin stabilization and gravity gradient torques. Gyroscopic devices and energy dissipation. Introduction to attitude control."
37,AAE 45000,AAE,45000,Spacecraft Design,"Senior students perform a team-based spacecraft design, requiring application of the education and skills developed in the aerospace curriculum. Components include analysis methods for preliminary design, development of an initial vehicle concept, and development of a complete numerical model of the mission, culminating in oral and written reports by the teams."
38,AAE 45100,AAE,45100,Aircraft Design,"Senior students perform a team-based aircraft design, requiring application of the education and skills developed in the aerospace curriculum. Aircraft mission requirements include engine cycle selection and airframe/engine integration, performance, stability and control, structures, human factors, avionics, sensors, and manufacturing processes. The teams present oral and written reports on their designs."
39,AAE 45300,AAE,45300,Matrix Methods In Aerospace Structures,"Matrix algebra and its programming. Energy principles and finite element formulation method. Coordinate transformation and assemblage. Stiffness, mass, and incremental stiffness matrices for aircraft elements bar, beam, and shear panel. Analysis and design of wing box and fuselage structures using simple computer programs (static and dynamic)."
40,AAE 45400,AAE,45400,Design Of Aerospace Structures,"Design/failure criteria for aerospace structures, materials selection, introduction to manufacturing methods, structural assemblies, component details, concurrent engineering, and interdisciplinary design teams."
41,AAE 49000,AAE,49000,Special Problems In Aeronautical Engineering,to 18.00. Hours and credit to be arranged. Permission of instructor required.
42,AAE 49700,AAE,49700,Independent Study In Aerospace Engineering,to 6.00. Projects or special topics of contemporary importance or of special interest outside the scope of the standard undergraduate curriculum. Interested students seek a faculty advisor in their area of special interest and together prepare a brief description of the work to be undertaken. Permission of instructor required.
43,AAE 50700,AAE,50700,Principles Of Dynamics,"Kinematics, fundamental laws of mechanics, constraints, and generalized coordinates. Lagrange's equations, virtual work. Application to particle dynamics, rigid body motion, and spacecraft dynamics. Knowledge of differential equations required."
44,AAE 50800,AAE,50800,Optimization In Aerospace Engineering,"Formulation of optimization problems encountered in aerospace engineering. Minima of functions and functionals, necessary conditions, calculus of variations, control formulation, two-point boundary-value problems. Applications to typical problems in aerospace engineering, such as optimal launch, minimum time to climb, maximum range, and optimal space trajectories."
45,AAE 51100,AAE,51100,Introduction To Fluid Mechanics,"The basic conservation equations are derived for a compressible viscous fluid, and then are specialized for applications in potential flow, viscous flow, and gas dynamics."
46,AAE 51200,AAE,51200,Computational Aerodynamics,"Finite difference methods for solving fluid flow problems. Review of classification of partial differential equations, well-posed problems, and discrete approximation of partial differential equations. Matrix and von Neumann stability analysis. Consistency and convergence. Grid generation: elliptic, hyperbolic, and transfinite mesh generation methods. Methods for solving the unsteady Euler equations: finite-volume formulations, flux-split and flux-difference formulations, shock-capturing, formulation of boundary conditions, artificial viscosity models, and multi-grid acceleration."
47,AAE 51400,AAE,51400,Intermediate Aerodynamics,"Thin airfoil theory and panel methods. Three-dimensional elementary solutions, lifting-line and lifting-surface models. Slender wing and slender body theory. Normal/oblique shock waves. One- and multidimensional flows and conical flows. Method of characteristics. Introduction to transonic flow, hypersonic flow, and airfoil design."
48,AAE 51500,AAE,51500,Rotorcraft Aerodynamics,"Introduction to Vertical Take-Off and Landing (VTOL) concepts and configurations. Rotor kinematics. Momentum and blade element theory. Rotor wakes and noise. Airfoil design for rotorcraft. Introduction to Computational Fluid Dynamics (CFD) techniques, rotorcraft performance, and design."
49,AAE 51800,AAE,51800,Low-Gravity Fluid Dynamics,"Theory and design for control of liquid propellants in weightlessness. Gravity and orbits review. Satellite and space-probe acceleration environments. Capillary-dominated fluid dynamics: contact angle, surface tension, curvatures, and solution methods. Industry practice and current topics."
50,AAE 51900,AAE,51900,Hypersonic Aerothermodynamics,"Aerodynamics of satellites and planetary re-entry. Continuum hypersonic flow. Inviscid and viscous effects, boundary layers, and heat transfer. Shock and boundary-layer interactions. Equilibrium flow of hightemperature reacting gases. Nonequilibrium effects. Kinetic theory and rarefied flows. Direct simulation Monte Carlo techniques."
51,AAE 52000,AAE,52000,Experimental Aerodynamics,"Theory and application of experimental techniques and instrumentation for aerodynamics and fluid mechanics. Computer data acquisition, wind tunnels, force balances, flow visualization, pressure probes, hot wire anemometry, laser Doppler velocimetry and turbulence measurements."
52,AAE 52300,AAE,52300,Introduction To Remote Sensing,"Fundamentals of satellite and airborne remote sensing. Basic physical principles of electromagnetic wave propagation will be introduced. From this foundation, the phenomenology's enabling properties of the atmosphere; ocean and land surface to be measured at a distance will be developed. These principles will be applied to the design of instruments and satellite missions for Earth observation. Microwave instruments will be emphasized, although there will also be discussion of optical systems. Most of the material would also be applicable to remote sensing of other planets. Intended for students in Engineering or the Sciences."
53,AAE 53200,AAE,53200,Orbit Mechanics,Orbit determination of near-earth satellites and various perturbations; libration and attitude control; orbit transfer and interception; lunar theory and interplanetary orbits; ascending mechanics and re-entry.
54,AAE 53500,AAE,53500,"Propulsion Design, Build, Test","Intensive one-semester treatment of the aerospace propulsion component development process. Derivation of design requirements from mission objective to detailed components; the design process. Standard methods for thermostructural, life, performance, and combustion stability design analysis; combustor design. Experimental procedures; fabrication; test. Special topics according to student interest."
55,AAE 53700,AAE,53700,Hypersonic Propulsion,"Analysis of advanced high speed air breathing propulsion concepts for hypersonic flight. Missions and trajectories. Engine/airframe integration. Aerothermodynamic analysis of ramjets, scramjets, and oblique detonation wave engines. On- and off-design of compression inlets and minimum length nozzles. Cryogenic fuels and skin cooling. Ram accelerator ballistic launch concepts."
56,AAE 53800,AAE,53800,Air Breathing Propulsion,"(ME 53800) Analysis of operating characteristics of turbojet, turbofan, turboshaft, afterburning, and ramjet propulsion systems. Analysis and design of inlet, diffuser, combustor, compressor, turbine, nozzle. Component matching and off-design performance. Inlet distortion, nozzle-afterbody, and installation losses. Mission analysis."
57,AAE 53900,AAE,53900,Advanced Rocket Propulsion,Generalized internal compressible and incompressible flows. Thermochemistry and heat transfer in rocket applications. Advanced topics in solid rocket motor performance and internal ballistics. Liquid rocket engine cycle analysis and turbopump design. Combustion of liquid and solid propellants. Hybrid rockets and thermal-nuclear engines.
58,AAE 54500,AAE,54500,Dynamic Behavior of Materials,"Materials' responses to high-rate loading are different from their quasi-static behavior. Applications of materials in structures subjected to impact loading from events such as bird strike require the understanding of dynamic material behavior. Such high-rate materials behavior is not available in standard materials handbooks or design manuals. This course introduces stress wave propagation in solids, which is the foundation to characterization and understanding of high-rate response of materials. Then, the theoretical background and working principles of high-rate experimental methods are presented to characterize the material response under high-rate"
59,AAE 54600,AAE,54600,Aerospace Structural Dynamics And Stability,"Dynamics of continuous systems: rod, beam, frame, and plate structures. General structural principles: virtual work, Hamilton's principle, Lagrange's equation, and Ritz method for discrete approximations. Modal analysis: eigenanalysis, mode shapes, mode superposition, and complex modes. Nonlinear vibrations: phase plane, Poincare, bifurcation plots, and chaos. Stability of the motion: classification of problems, follower loads, aerodynamic loads, divergence, flutter, pulsating compression, and gyroscopic systems."
60,AAE 54800,AAE,54800,Mechanical Behavior Of Aerospace Materials,"This course serves as an overview for materials behavior for students without a materials background, including seniors and entry-level graduate students. Materials are at the foundation for all of engineering, as evident by the latest products that we design, to the airplanes that we fly, to the latest smart phones. In fact, breakthroughs with material research are often accompanied by rapid advancements in technology. Thus it is paramount for all engineers to have an understanding of the structure and behavior of materials. In this class, we focus on the structure of materials, the microstructure connection to mechanical properties, and ultimately failure mechanisms. Materials play an important role in both design and manufacturing, which will be addressed in the context of components and extreme environments. Of specific interest will be defects within materials, defect formation/evolution, and their role in strengthening mechanisms. Material anisotropy, micromechanisms, and elastoplastic properties at the atomic, single-crystal/constituent, and polycrystal-material levels and their use in explaining the deformation and failure characteristics in metals, polymers, and ceramics; failure mechanisms and toughening in composites; structure and behavior of aerospace materials: metal alloys, ceramic-matrix composites, and fiberreinforced polymer composites. Particular topics will also include: elastic deformation, dislocation mechanics, plastic deformation and strengthening mechanisms, creep, and failure mechanisms; design criteria; special topics. We will attempt to have minimal overlap with AAE 55400, Fatigue of Structures and Materials. Therefore we will not cover fracture, fatigue, or stress concentrators."
61,AAE 55000,AAE,55000,Multidisciplinary Design Optimization,"Basics of numerical optimization: problem formulation, conditions of optimality, search direction, and step length. Calculus-based techniques for univariate and multivariate optimization. Constrained and unconstrained optimization methods. Global optimization methods. Multi-objective optimization: Pareto optimality and approaches. Recent multidisciplinary design optimization techniques: approximations, response surface methodology, and collaborative optimization. Applications of various methods and techniques to representative engineering problems, culminating in a final project. Ability to solve mathematical problems with MATLAB and IMSL and similar software helpful."
62,AAE 55100,AAE,55100,Design Theory And Methods For Aerospace Systems,"Introduction to design theory, aerospace design process, design specification and requirements, concept generation and selection, design decomposition, improving designs, process design, and concurrent engineering. Design for assembly/manufacture. Projects allow for application and critical analysis of design methods."
63,AAE 55200,AAE,55200,Nondestructive Evaluation Of Structures And Materials,"Overview of methods employed for nondestructive evaluation of structures and materials taught in the context of damage tolerant structural analysis. Major inspection topics include: radiography, ultrasonics, eddy current, penetrant, magnetic, and visual/optical techniques. Other new emerging inspection techniques also are discussed. Offered in alternate years."
64,AAE 55300,AAE,55300,Elasticity In Aerospace Engineering,A basic course in the theory of elasticity with emphasis on understanding the fundamental principles and solution techniques used in the stress analysis of structures. Cartesian tensors. Governing equations for linear elasticity. Rigorous derivation of beam and plate equations from the three-dimensional elasticity equations. Torsion. Thermoelasticity. The stress functions and complex functions approaches to two-dimensional problems. Energy methods and approximate solutions. Three-dimensional problems. Knowledge of differential equations assumed.
65,AAE 55400,AAE,55400,Fatigue Of Structures And Materials,Development and application of methods for predicting the fatigue life of structural components. Characterization and response of materials to cyclic loading. Fatigue resistant design of aerospace structures. Both fatigue crack initiation and crack propagation concepts are discussed.
66,AAE 55500,AAE,55500,Mechanics Of Composite Materials,"Current and potential applications of composite materials. Review of elasticity of anisotropic solids. Methods for determining mechanical properties of heterogeneous materials. Static and dynamic analyses of laminated composites. Fracture and fatigue of laminates. Reliability, testing, and design of composites."
67,AAE 55600,AAE,55600,Aeroelasticity,"The study of the effect of aerodynamic forces of flexible aircraft. Static aeroelastic problems; control effectiveness; lift effectiveness; divergence. Dynamic aeroelasticity; classical flutter; an introduction to stability augmentation with controls. A review of standard and modern numerical solution techniques; the k-method, the British or p-k method."
68,AAE 55800,AAE,55800,Finite Element Methods In Aerospace Structures,"Introduction to the use of advanced finite element methods in the calculation of deformation, strain, and stress in aerospace structures. Topics include: 1-D, 2-D, 3-D, and axisymmetric elements, isoperimetric element formulation, convergence, treatment of boundary conditions and constraints. Special topics include stability, dynamic analysis, and nonlinear material behavior. Emphasis is on the theoretical knowledge of the finite element method. Applied experience is gained by solution of aerospace structural analysis problems through use of professional software."
69,AAE 56000,AAE,56000,System-Of-Systems Modeling And Analysis,"Introduction to features of system-of-systems problems; problem definition tools; role of complexity; network topology analysis and agent-based simulation models; architecture analysis; metrics for multistakeholder problems; semester team projects allow students to exercise and critique such methods for analyzing system-of-systems problems. Some background in probability and statistics (e.g. random variables, probability density and distributions, sampling methods) is expected."
70,AAE 56100,AAE,56100,Introduction To Convex Optimization,"(IE 56100) Introduction to convex analysis, convex optimization problems, algorithms of convex optimization and measures of their complexity, and application of convex optimization in aerospace engineering. Recognition of convex optimization problems that arise in scientific and engineering applications. Introduction to software tools to solve convex optimization problems."
71,AAE 56400,AAE,56400,Systems Analysis And Synthesis,"State space methods of analysis and design of continuous and discrete-time linear systems. Coordinate transformations, Jordan canonical forms, digital control, controllability and observability of continuous and discrete systems. Liapunov stability analysis. The linear regulator problem of optimal control via Hamilton Jacobi theory. Pole assignment, stabilizability, detectability. State estimation for deterministic models. Minimal order observers. MA 51100 recommended concurrently."
72,AAE 56500,AAE,56500,Guidance And Control Of Aerospace Vehicles,Optimal control theory and application to trajectory optimization; flight control synthesis and guidance law development; handling qualities; stability augmentation; auto-pilots. Launch vehicle and ballistic missile attitude control. AAE 56400 recommended.
73,AAE 56700,AAE,56700,Introduction To Applied Stochastic Processes,"An introductory course in the concept of a discrete and continuous stochastic process based upon physical phenomena that originally gave rise to the specific stochastic models that are studies. Spectral analysis, response of time invariant systems to noise inputs. Estimation theory, Kalman and Winer filtering."
74,AAE 56800,AAE,56800,Applied Optimal Control And Estimation,"This course introduces students to analysis and synthesis methods of optimal controllers and estimators for (stochastic) dynamical systems. The topics in this course include a review of probability and stochastic processes, classical estimation techniques, Pontryagin's maximum principle, dynamic programming. Linear Quadratic Regulator problems (LQR), Kalman filter, duality of LQR with Kalman filter, Linear Quadratic Gaussian (LQG), and a range of engineering applications."
75,AAE 57500,AAE,57500,Introduction To Satellite Navigation And Positioning,"Introduction to radio-navigation techniques, using the Global Navigation Satellite System (GNSS); GNSS signal structures; satellite search and acquisition; satellite tracking; coordinate systems and time; observations; atmospheric effects; and position-velocity-time (PVT) solutions."
76,AAE 58500,AAE,58500,Air Transportation Systems,"This course provides an overview of civil air transportation system design and operations, ranging from the economics of airlines, to air traffic control. The course is divided into two general theme areas: Airline Economics and Scheduling; and Airline Fight Operations and Air Traffic Control. This course will prepare students for positions in the civil aviation industry and for graduate research in civil aviation topics. Permission of instructor required."
77,AAE 59000,AAE,59000,Projects In Aeronautical Engineering,to 6.00. Topics vary - projects in Aeronautical Engineering. Permission of instructor required.
78,AAE 59500,AAE,59500,Aerospace Seminar,An interdisciplinary seminar that provides a forum for invited speakers and staff to discuss new developments in practice and current research in aerospace engineering.
79,AAE 59700,AAE,59700,Independent Study In Aerospace Engineering,to 6.00. Projects or special topics of contemporary importance or of special interest that are outside the scope of the standard graduate curriculum can be studied under the Special Topics in Aerospace Engineering course. Interested students should seek a faculty advisor by meeting with individual faculty members who work in their area of special interest and prepare a brief description of the work to be undertaken in cooperation with their advisor. Permission of instructor required.
80,AAE 60700,AAE,60700,Variational Principles Of Mechanics,"Basic concepts of analytical mechanics, calculus of variations, Hamilton's equations, HamiltonJacobi theory, canonical transformations. Offered in alternate years. Prerequisite: AAE 50700."
81,AAE 61300,AAE,61300,Viscous Flow Theory,"Compressible, laminar boundary layer theory; Buseman and Crocco integrals; skin friction and heat transfer. Introduction to turbulent boundary layers and transition phenomena. Advanced boundary layer theory; the method of inner and outer expansions. Boundary layers with chemical reaction; applications to hypersonic flow and combustion. Prerequisite: AAE 51100."
82,AAE 61500,AAE,61500,Aeroacoustics,"(ME 61500) Quantitative measures of sound (Decibel) scales, spectra, energetics of acoustic motions, and measurement techniques). The wave theory of sound (basic equations and properties, sound propagation in homogeneous and inhomogeneous media, one-, two-, and three-dimensional sound fields, and distributed sources). Effects of source movement. Aerodynamic noise generation-acoustic analogy (Lighthill's equation and Ffowcs Williams-Hawkins equation). Introduction to Computational Aeroacoustics (CAA). Noise from turbulent shear flows (jet noise, cavity noise, and noise from flow over objects). Noise from turbomachinery, propellers, and rotors. Prerequisite: AAE 51100 or ME 50900 or ME 51300."
83,AAE 62400,AAE,62400,Laminar-Turbulent Transition,"Instability mechanisms, such as Kelvin-Helmholtz, Tollmien-Schlichting, Gortler, and crossflow. Secondary instabilities. Nonlinear and nonparallel effects; the Parabolized Stability Equations; receptivity; transition prediction. Effects of compressibility, heating, roughness, turbulence, noise, curvature, etc. Turbulent spots and the extent of transitional flow. Prerequisite: AAE 51100."
84,AAE 62600,AAE,62600,Turbulence And Turbulence Modeling,"Physical description of turbulence. Reynolds averaged equations. Scaling of basic turbulent flows. Homogeneous turbulence, spectra and two-point correlations. Hierarchy of turbulence models, including zero-, one-, and two-equation models, Reynolds stress models, large eddy simulations, and direct numerical simulations. Additional topics, such as compressibility effects on turbulence and probability density function methods, as time allows. Prerequisite: AAE 51100."
85,AAE 63200,AAE,63200,Advanced Orbital Dynamics,"Discussion of more advanced concepts in astrodynamics. Includes fundamental theories from celestial mechanics, as well as trajectory determination and perturbation analysis with application to the motion of Earth-orbiting and interplanetary spacecraft. Assumes experience with the two-body problem. Offered in alternate years. Prerequisite: AAE 50700, AAE 53200."
86,AAE 64200,AAE,64200,Graduate Professional Practice,Practice in industry and comprehensive written reports of this practice. Approval by the student's adviser or major professor and by the Graduate professional practice administrator. Prerequisite: Approval by the student's adviser or major professor and by the Graduate professional practice administrator. Permission of instructor required.
87,AAE 64600,AAE,64600,Elastic Wave Propagation,"Elastic wave propagation in rods, beams, and plates. Wave motion in semi-infinite bodies; Rayleigh, Lamb and Love waves. Pochhammer-Chree theory for rods. General properties of dispersive waves and approximation techniques. Impact. Wave front and ray methods. Introduction to wave propagation in anelastic and nonhomogenous media, and to large amplitude and shock waves. Prerequisite: AAE 55300 or ME 56300."
88,AAE 64800,AAE,64800,Modeling Damage And Strengthening Mechanisms In Materials,"The usage of materials is the backbone of engineering practice. Yet, advances in materials have stagnated due to overly conservative approaches, trial-and-error testing, and long qualification times. Material modeling offers tremendous opportunities to address these issues. This class offers advanced modeling strategies at the intersection of mechanics and materials science for both polycrystalline and composite materials. The course topics are defined as follows: First, advanced micromechanics analysis of modern engineering materials with emphasis on relating elastic microstructural phenomena to the mechanics of material behavior, via the Eshelby inclusion problem and its application to fiber reinforced composites. Second, classical plasticity is summarized via phenomenological and mathematical formulation of the constitutive laws, including yielding, yield surface; von Mises, Tresca yield criteria; Drucker's stability postulate; strain or work hardening, normality rule, perfect plasticity, and stress-strain law. Third, crystal plasticity is discussed, specifically physical and mathematical foundation for plasticity in crystalline materials, with a detailed description of the Bishop and Hill implementation of the Taylor model for deformation of polycrystals. Lastly, concepts of dislocations leading to strengthening mechanisms in metals are discussed: (i) by studying the anisotropy of material and elastoplastic properties at crystal level, microstructural basis for deformation in metals, polymers, and ceramics and (ii) failure mechanisms and toughening in metals, with primary emphasis on work/strain hardening, solid solution hardening, precipitate hardening, and grain boundaries. The course will be comprised of three projects, where the student chooses the topic of the third and final project. Prerequisite: AAE 55300 or equivalent."
89,AAE 65400,AAE,65400,Fracture Mechanics,Methods of stress analysis in elastic media containing cracks. Fracture criteria. The strain energy release rate and J-integral. Crack tip plasticity. Interface cracks. Cracks in anisotropic solids. Bending of cracked plates. Dynamic crack propagation. Prerequisite: AAE 55300.
90,AAE 66600,AAE,66600,"Nonlinear Dynamics, Systems, And Control","Fundamental concepts and tools that are useful in the analysis of nonlinear systems and in the design of controllers and estimators for such systems. Results are illustrated by, and applied to, aerospace/mechanical systems. Prerequisite: AAE 56400."
91,AAE 66800,AAE,66800,Hybrid Systems: Theory And Analysis,"Hybrid systems are dynamical systems with both continuous and discrete dynamics and they are finding increasing applications in a variety of engineering fields, even in scientific fields such as biological systems. This course will present the recent advances in modeling, analysis, control, and verification of hybrid systems. Topics covered in this course include the following aspects of hybrid systems: continuous-time and discrete-event models; reachability analysis; safety specifications and model checking; optimal control and estimation of hybrid systems; stability analysis and verification tools; stochastic hybrid systems; numerical simulations; and a range of engineering applications. Prerequisites: AAE 56400."
